C1,C2
4224.2,3043.6
184.95,86.143
938.11,1792.1
90.76,89.207
242.91,-105.84
-4051.3,-3323.2
809.13,716.84
1006.6,1042.2
0.1533,-0.21371
0.037641,0.038566
1.2236,1.0144
