C1,C2
3095.9,2885.3
165.43,202.87
1115,1953.6
385.23,372.84
108.35,-9.7286
-3010.5,-3243.8
681.51,648.95
808.04,879.8
0.042064,-0.22713
0.072856,0.044371
1.0755,0.91895
