C1,C2
2547.6,1872
-89.275,-95.997
1360.7,2039.1
359.57,241.71
-27.614,-178.38
2585.7,2587.9
645.03,451.88
176.6,152.15
-0.054985,-0.33989
-0.062017,-0.033495
0.94453,0.64392
