C1,C2
3008.3,2732.2
254.19,85.83
126.32,1633.8
309.55,369.51
321.33,200.09
-2927.1,-3105.5
60.611,-43.754
836.2,899.19
0.14423,-0.16855
-0.042684,-0.070975
0.66599,0.54202
