C1,C2
3011.7,2677.7
81.742,126.71
1095.4,1797.1
316.44,341.17
48.866,-53.827
-2936.4,-3027.8
595.16,538.95
803.57,889.75
0.046014,-0.21065
0.050943,0.032718
1.063,0.80173
