C1,C2
-3518.3,-2896.9
93.071,-17.519
-277.02,-1500.1
1269.6,1124.2
-228.67,105.91
-3346.4,-3117.4
-485.04,-494.41
564.53,644.05
-0.23536,0.15716
-0.0079101,-0.00071783
-0.92809,-0.87398
