scorer,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000
bodyparts,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1995.5867919921875,138.51551818847656,0.9993116855621338,2100.621826171875,157.91087341308594,0.9949139356613159,2219.263671875,168.6630401611328,0.9712182283401489,2262.641845703125,194.5333709716797,0.9993809461593628
1,1995.5867919921875,139.54498291015625,0.9983514547348022,2100.621826171875,158.13650512695312,0.9990424513816833,2220.00146484375,168.6630401611328,0.9948292374610901,2263.12890625,194.5333709716797,0.9991748929023743
2,1995.5867919921875,140.76841735839844,0.9982870221138,2100.621826171875,158.22727966308594,0.9991777539253235,2220.00146484375,168.6630401611328,0.9980707764625549,2263.230712890625,194.5333709716797,0.9999125003814697
3,1994.584228515625,141.60633850097656,0.9987267851829529,2099.431884765625,158.91781616210938,0.9992077946662903,2219.292724609375,167.2983856201172,0.9989022016525269,2263.230712890625,190.87106323242188,0.9998723268508911
4,1994.4248046875,141.60633850097656,0.9986597299575806,2097.845703125,159.17385864257812,0.9989349246025085,2219.292724609375,164.44515991210938,0.9994507431983948,2264.11376953125,184.90379333496094,0.9997982382774353
5,1994.175537109375,141.60633850097656,0.9988647699356079,2092.92138671875,159.83180236816406,0.9993233680725098,2218.56787109375,162.48434448242188,0.9994182586669922,2269.580810546875,179.20948791503906,0.9987516403198242
6,1994.159912109375,141.23304748535156,0.9991207718849182,2090.45947265625,160.03065490722656,0.9991276860237122,2217.512451171875,161.80885314941406,0.9995017051696777,2269.81787109375,177.97715759277344,0.9967978596687317
7,1993.6112060546875,140.99169921875,0.9993336796760559,2089.150390625,160.6029510498047,0.9994552731513977,2217.512451171875,161.7391815185547,0.9994515776634216,2269.81787109375,173.67575073242188,0.991083025932312
8,1993.2049560546875,140.88182067871094,0.9994539618492126,2089.150390625,161.16175842285156,0.9994551539421082,2218.56787109375,161.7391815185547,0.9992122650146484,2269.81787109375,171.45953369140625,0.991751492023468
