fish1,fish2,dist,angle,year,month,day,trial,frame,turb,dark,flow
0,1,0.526534808549976,85.76318493903892,2020,07,28,29,0,N,N,2
0,2,0.4525232860397733,95.35662483908536,2020,07,28,29,0,N,N,2
0,3,0.726970534354127,174.37406848001658,2020,07,28,29,0,N,N,2
0,4,0.29226123230823037,64.83518900205254,2020,07,28,29,0,N,N,2
0,5,0.6557772531734551,5.489520887220733,2020,07,28,29,0,N,N,2
0,6,0.25478665523683436,128.97351096160548,2020,07,28,29,0,N,N,2
0,7,0.9366948001146432,76.39265230050782,2020,07,28,29,0,N,N,2
1,2,1.0294426987456935,94.75439281424384,2020,07,28,29,0,N,N,2
1,3,1.0177721183838142,141.96568945048486,2020,07,28,29,0,N,N,2
1,4,0.8351324189359255,83.82893879513281,2020,07,28,29,0,N,N,2
1,5,0.8937113150145497,43.75864279119877,2020,07,28,29,0,N,N,2
1,6,0.40260709667058825,121.34120791119439,2020,07,28,29,0,N,N,2
1,7,1.5214580563838893,82.79498497261275,2020,07,28,29,0,N,N,2
2,3,0.7039554956967086,150.89258315528141,2020,07,28,29,0,N,N,2
2,4,0.2254172472360462,48.166455706374954,2020,07,28,29,0,N,N,2
2,5,0.7185825920968412,29.161186862180138,2020,07,28,29,0,N,N,2
2,6,0.5952354900213614,100.31112697974204,2020,07,28,29,0,N,N,2
2,7,0.4781221260672352,60.26979940144691,2020,07,28,29,0,N,N,2
3,4,1.2025508958216609,12.84189210896464,2020,07,28,29,0,N,N,2
3,5,1.9034394542422628,0.35525340507500003,2020,07,28,29,0,N,N,2
3,6,0.8634499471558036,25.55853814284577,2020,07,28,29,0,N,N,2
3,7,1.7466882604811438,41.63912039057106,2020,07,28,29,0,N,N,2
4,5,0.5593338345535752,20.897747293226736,2020,07,28,29,0,N,N,2
4,6,0.5369816556639696,121.59389849733044,2020,07,28,29,0,N,N,2
4,7,0.6456343037297805,81.53737230550509,2020,07,28,29,0,N,N,2
5,6,0.9744796694470721,162.21391154602054,2020,07,28,29,0,N,N,2
5,7,1.0860438670632857,117.02617271834477,2020,07,28,29,0,N,N,2
6,7,1.2971593389527556,71.04887242850484,2020,07,28,29,0,N,N,2
0,1,0.5278826883771167,85.81613004137711,2020,07,28,29,1,N,N,2
0,2,0.45790704515105524,95.88775808212613,2020,07,28,29,1,N,N,2
0,3,0.7284247385317603,174.01294598971552,2020,07,28,29,1,N,N,2
0,4,0.2794935751738328,64.82786275145182,2020,07,28,29,1,N,N,2
0,5,0.6527697074625477,2.9697128338963044,2020,07,28,29,1,N,N,2
0,6,0.2515759129248212,129.851737394229,2020,07,28,29,1,N,N,2
0,7,0.9368484704016021,77.00674620128527,2020,07,28,29,1,N,N,2
1,2,1.036455963992838,94.97533489033098,2020,07,28,29,1,N,N,2
1,3,1.0222218051662875,141.704612034082,2020,07,28,29,1,N,N,2
1,4,0.8239223444708053,84.11304412663827,2020,07,28,29,1,N,N,2
1,5,0.8735562575147351,42.41026909541201,2020,07,28,29,1,N,N,2
1,6,0.4086108464743986,120.9283234053897,2020,07,28,29,1,N,N,2
1,7,1.5242649260965027,83.18061330002205,2020,07,28,29,1,N,N,2
2,3,0.7011071675320484,150.7430903423009,2020,07,28,29,1,N,N,2
2,4,0.23635277830099155,50.687401472772045,2020,07,28,29,1,N,N,2
2,5,0.7369387348719827,31.105428144957983,2020,07,28,29,1,N,N,2
2,6,0.5946361008763352,99.98869047830628,2020,07,28,29,1,N,N,2
2,7,0.47393957904190975,60.610015269046485,2020,07,28,29,1,N,N,2
3,4,1.1917719830354365,11.851594540991195,2020,07,28,29,1,N,N,2
3,5,1.9044424467754815,1.7544736488751294,2020,07,28,29,1,N,N,2
3,6,0.8633388379136275,25.53822830756572,2020,07,28,29,1,N,N,2
3,7,1.7355822963072345,41.827853220393315,2020,07,28,29,1,N,N,2
4,5,0.5698087889856587,22.348539049204177,2020,07,28,29,1,N,N,2
4,6,0.5207965013050095,122.1239745070147,2020,07,28,29,1,N,N,2
4,7,0.6587542758249976,82.0840025084746,2020,07,28,29,1,N,N,2
5,6,0.9634696880829856,164.40443011828663,2020,07,28,29,1,N,N,2
5,7,1.1225594594641408,116.65539288857642,2020,07,28,29,1,N,N,2
6,7,1.291430277403142,71.4168121314931,2020,07,28,29,1,N,N,2
0,1,0.5306811252294711,86.02138935973865,2020,07,28,29,2,N,N,2
0,2,0.4642853266202855,96.28549805021376,2020,07,28,29,2,N,N,2
0,3,0.7297952083968502,173.6409841057655,2020,07,28,29,2,N,N,2
0,4,0.2689679938756704,64.69975267704608,2020,07,28,29,2,N,N,2
0,5,0.651231331055703,0.97300594408196,2020,07,28,29,2,N,N,2
0,6,0.24761403283117084,130.90942892220414,2020,07,28,29,2,N,N,2
0,7,0.9369773691978229,77.54583816991428,2020,07,28,29,2,N,N,2
1,2,1.046008354940743,95.05507273729567,2020,07,28,29,2,N,N,2
1,3,1.0266228276538083,141.31580422453996,2020,07,28,29,2,N,N,2
1,4,0.8165109678777708,84.22562492649107,2020,07,28,29,2,N,N,2
1,5,0.8603677066545772,41.340541433534284,2020,07,28,29,2,N,N,2
1,6,0.4162965212223313,120.1711488114648,2020,07,28,29,2,N,N,2
1,7,1.5286397228668671,83.47315552145959,2020,07,28,29,2,N,N,2
2,3,0.6992505300297729,150.56022080595324,2020,07,28,29,2,N,N,2
2,4,0.24750397160703497,52.79005838777916,2020,07,28,29,2,N,N,2
2,5,0.7530407697590362,32.68726612741771,2020,07,28,29,2,N,N,2
