cond,distBin,angleBin,heading,coord,angleBinSize,distBinSize
F0,0,2,0.9616511396617936,0.6168810981172013,30,1
F0,0,2,0.7632353660995914,0.5768051722513732,30,1
F0,0,2,0.6074840774810124,0.609277432879267,30,1
F0,1,1,0.21561922734190064,0.5899951191873631,30,1
F0,1,0,0.33487200450944254,0.5302620012844903,30,1
F0,0,0,0.2828475520087622,0.5879298425306416,30,1
F0,0,1,0.5222537831722773,0.5459586285209459,30,1
F0,0,2,0.7785530070525567,0.6459683750013473,30,1
F0,1,3,0.8836725492854426,0.546269231497905,30,1
F0,1,3,0.8340713489916782,1.0,30,1
F0,1,3,0.6845368335836184,0.6168810981172013,30,1
F0,1,2,0.40475875361762603,0.5768051722513732,30,1
F0,1,2,0.20901510860287886,0.609277432879267,30,1
F0,1,1,0.38136866444448003,0.5899951191873631,30,1
F0,1,1,0.3479002181000378,0.5302620012844903,30,1
F0,0,0,0.3422283679397776,0.5879298425306416,30,1
F0,0,0,0.6891284683495752,0.5459586285209459,30,1
F0,0,1,0.8885224586683651,0.6459683750013473,30,1
F0,0,1,0.944115121550487,0.546269231497905,30,1
F0,0,0,0.956691130435087,1.0,30,1
F0,2,3,0.10404562209858137,0.6168810981172013,30,1
F0,2,3,0.5286227578897399,0.5768051722513732,30,1
F0,2,3,0.8809333989724886,0.609277432879267,30,1
F0,2,3,0.9825994924499029,0.5899951191873631,30,1
F0,2,3,0.750724172494607,0.5302620012844903,30,1
F0,2,3,0.788488691324217,0.5879298425306416,30,1
F0,2,4,0.6182471142863832,0.5459586285209459,30,1
F0,2,4,0.3494994722762501,0.6459683750013473,30,1
F0,1,4,0.18850466800676913,0.546269231497905,30,1
F0,1,5,0.12719510324700345,1.0,30,1
F0,1,2,0.03757830440461363,0.6168810981172013,30,1
F0,1,1,0.19057306218394465,0.5768051722513732,30,1
F0,1,1,0.27018590716607305,0.609277432879267,30,1
F0,0,0,0.33250165431229795,0.5899951191873631,30,1
F0,0,0,0.2560127821000937,0.5302620012844903,30,1
F0,0,1,0.4233405571931924,0.5879298425306416,30,1
F0,0,3,0.26987243568483354,0.5459586285209459,30,1
F0,0,5,0.2548804896721766,0.6459683750013473,30,1
F0,0,5,0.1007748224162599,0.546269231497905,30,1
F0,1,4,0.0845711945544747,1.0,30,1
F0,2,4,0.004843763005893065,0.6168810981172013,30,1
F0,2,3,0.30549924337078915,0.5768051722513732,30,1
F0,2,3,0.6552524103462591,0.609277432879267,30,1
F0,2,3,0.9234449183455408,0.5899951191873631,30,1
F0,1,3,0.7349024870081575,0.5302620012844903,30,1
F0,1,3,0.7447088976511793,0.5879298425306416,30,1
F0,1,3,0.43292509883047403,0.5459586285209459,30,1
F0,1,4,0.29183655662059205,0.6459683750013473,30,1
F0,1,4,0.10451013874042481,0.546269231497905,30,1
F0,1,4,0.039429377157790935,1.0,30,1
F0,1,2,0.6779609109799253,0.6168810981172013,30,1
F0,1,2,0.39655497634778225,0.5768051722513732,30,1
F0,1,1,0.06341457729056366,0.609277432879267,30,1
F0,1,0,0.09679417602244156,0.5899951191873631,30,1
F0,1,0,0.19390999142625587,0.5302620012844903,30,1
F0,1,1,0.1724576039422745,0.5879298425306416,30,1
F0,1,2,0.510140421746643,0.5459586285209459,30,1
F0,1,2,0.6698385660797399,0.6459683750013473,30,1
F0,1,3,0.8550475123075694,0.546269231497905,30,1
F0,1,3,0.9531664061616131,1.0,30,1
F0,1,3,0.7488114099186851,0.6168810981172013,30,1
F0,1,2,0.5325515638656163,0.5768051722513732,30,1
F0,1,2,0.7108131553868657,0.609277432879267,30,1
F0,1,2,0.8816829346511122,0.5899951191873631,30,1
F0,1,2,0.5852449148463346,0.5302620012844903,30,1
F0,1,2,0.3693043227668059,0.5879298425306416,30,1
F0,1,3,0.042426411998139346,0.5459586285209459,30,1
F0,1,4,0.3546188439689697,0.6459683750013473,30,1
F0,1,4,0.6837190401966842,0.546269231497905,30,1
F0,1,5,0.8239828193210104,1.0,30,1
F0,1,3,0.7228856939218247,0.5105269803658998,30,1
F0,0,3,0.6415233875180345,0.5289081571639308,30,1
F0,0,2,0.6015310311218666,0.5329926220322729,30,1
F0,0,1,0.8342505628974206,0.5326770354064411,30,1
F0,0,2,0.9869717864094049,0.5350495843396205,30,1
F0,0,2,0.9406191840689846,0.549009495732673,30,1
F0,0,2,0.8331253148227022,0.5484931885197171,30,1
F0,0,2,0.8900305483841917,0.6014811756707268,30,1
F0,0,1,0.8277876708359297,0.5231634469261222,30,1
F0,1,1,0.8773802185565911,1.0,30,1
F0,2,3,0.06569676176037498,0.5105269803658998,30,1
F0,3,3,0.2918581239893314,0.5289081571639308,30,1
F0,3,3,0.488417476453501,0.5329926220322729,30,1
F0,3,3,0.1982187197918034,0.5326770354064411,30,1
F0,3,4,0.08559617700404953,0.5350495843396205,30,1
F0,2,4,0.07133624333297917,0.549009495732673,30,1
F0,2,4,0.14050089745866057,0.5484931885197171,30,1
F0,1,5,0.12805247932880692,0.6014811756707268,30,1
F0,1,5,0.07217721729221183,0.5231634469261222,30,1
F0,1,5,0.03873354776131843,1.0,30,1
F0,0,2,0.0007705559335927648,0.5105269803658998,30,1
F0,0,0,0.04619157171646393,0.5289081571639308,30,1
F0,0,1,0.12233001535291455,0.5329926220322729,30,1
F0,0,2,0.4518791183458014,0.5326770354064411,30,1
F0,0,3,0.40911521339046353,0.5350495843396205,30,1
F0,0,5,0.2938118907980455,0.549009495732673,30,1
F0,0,5,0.20787378114288912,0.5484931885197171,30,1
F0,1,4,0.03343349672473339,0.6014811756707268,30,1
F0,1,3,0.2171022731308172,0.5231634469261222,30,1
F0,2,3,0.2504998455627965,1.0,30,1
F0,2,4,0.04319262334409946,0.5105269803658998,30,1
F0,3,3,0.5422638772711978,0.5289081571639308,30,1
F0,3,3,0.9522316671347533,0.5329926220322729,30,1
F0,3,3,0.2921743089963599,0.5326770354064411,30,1
F0,2,3,0.06977449151760007,0.5350495843396205,30,1
F0,2,4,0.02755644965994153,0.549009495732673,30,1
F0,1,4,0.04482111799724864,0.5484931885197171,30,1
F0,1,5,0.07038956367314886,0.6014811756707268,30,1
F0,1,5,0.011817311974132494,0.5231634469261222,30,1
F0,0,5,0.12649927385053084,1.0,30,1
F0,0,3,0.7163097713181316,0.5105269803658998,30,1
F0,0,2,0.633319610248191,0.5289081571639308,30,1
F0,0,0,0.32910134522842394,0.5329926220322729,30,1
F0,0,0,0.6875865966356578,0.5326770354064411,30,1
F0,0,2,0.8590379869168133,0.5350495843396205,30,1
F0,0,3,0.8896100519335123,0.549009495732673,30,1
F0,0,3,0.9878866385743656,0.5484931885197171,30,1
F0,0,3,0.891285559027183,0.6014811756707268,30,1
F0,0,3,0.9713749630221268,0.5231634469261222,30,1
F0,0,4,0.7872377551532913,1.0,30,1
F0,1,3,0.7871602702568914,0.5105269803658998,30,1
F0,2,3,0.7693161977660247,0.5289081571639308,30,1
F0,2,2,0.8966709220941468,0.5329926220322729,30,1
F0,2,2,0.09730216199301289,0.5326770354064411,30,1
F0,1,3,0.07988308064422289,0.5350495843396205,30,1
F0,1,4,0.347848125224432,0.549009495732673,30,1
F0,0,4,0.5201726288258621,0.5484931885197171,30,1
F0,0,5,0.5760658369164129,0.6014811756707268,30,1
F0,1,5,0.8000464909112416,0.5231634469261222,30,1
F0,1,4,0.9899114703293321,1.0,30,1
F0,3,3,0.21141754431780013,0.5305200823114524,30,1
F0,3,3,0.06661848849263408,0.5470077515081275,30,1
F0,4,3,0.08994850757536754,0.6046424970586318,30,1
F0,3,3,0.363968156894383,0.5633458429745192,30,1
F0,3,4,0.09862439059464478,0.5334275618165695,30,1
F0,3,4,0.13071705926399457,0.586465827201979,30,1
F0,2,4,0.30737558263595843,0.5581922251713743,30,1
F0,2,4,0.2380219309446152,0.5725406397209112,30,1
F0,2,5,0.24438954645628208,0.5267870743420474,30,1
