cond,distBin,angleBin,dist_v,angle_v,heading,coord,tbf,spd_diff,tb_off,angleBinSize,distBinSize
F0,0,2,0.6539721065290417,65.83856274928718,189.0079344632118,0.6999636467573018,2.7827149285032697,0.38157825154965525,nan,30,1
F0,0,2,0.8259212064890582,69.30492722554885,179.35280882149812,0.8690445055361358,2.729714145257677,0.7633450560237054,0.2689736978252765,30,1
F0,1,2,1.0654213744759258,64.5822031139673,176.75796777812025,0.9670604695154572,3.144961642171534,0.5199784390100286,0.6309983270807518,30,1
F0,1,1,1.17584570363131,51.94319197036111,277.7726809349909,0.7668818161206261,2.4045912611091977,0.373695368198857,0.6309983270807518,30,1
F0,1,0,1.1821087209406822,25.119088265780533,342.81935896491876,0.8310946561910518,3.181325139895283,-0.8988862095725388,0.5913517824620595,30,1
F0,0,0,0.8970935247447013,7.869704653300516,346.24696923144177,0.7964114785850557,3.0567370066862067,-0.0028706483512187576,0.25435615320317634,30,1
F0,1,1,1.0163885611598125,46.70659302616639,10.801630983869776,0.8967441239490307,3.576164932372076,0.01806900964869211,0.22431200067045606,30,1
F0,1,2,1.0278606055361463,77.21818229750471,15.57258911505663,0.8145316896506632,3.2114469155829335,0.3955485086921345,0.14018837357883926,30,1
F0,1,3,1.1286769297563157,92.90160430846345,13.984722789217233,0.9901242127223466,3.199036588623054,0.19364067896448167,0.2054958633483302,30,1
F0,1,3,1.6764843543326038,93.10215602072788,224.53308293420028,0.6857954573978966,2.0455410399832323,-0.2032347384927494,nan,30,1
F0,1,2,1.6241057773598888,85.22356107471643,219.48185829585512,0.9936484581928553,2.1435199733226313,0.10371711920276194,0.1925182205774601,30,1
F0,1,2,1.6013454728136383,72.39983575535712,279.83192244084125,0.8616923518747576,1.3126212711556722,-0.6115207531110054,0.43882942848586576,30,1
F0,1,1,1.476602224493814,53.36400288809239,286.13076651697986,0.9174677145375878,1.0039614271777724,0.09306193988388992,0.43882942848586576,30,1
F0,1,1,1.5101219885629507,39.62838702864735,297.3670992874519,0.9848460902247677,1.744697850138656,-0.3353064785639756,0.408841259471021,30,1
F0,1,0,1.0726973946026275,24.367104759956135,353.6083010167846,0.9122147543603727,2.309609599195666,-1.4368623401897285,0.15394182284484062,30,1
F0,0,0,0.8822873470420886,11.456798761331356,342.1430709886277,0.981938343541854,2.829417016131305,-0.5285263704866268,0.16164014603999174,30,1
F0,0,1,0.6945941714773457,32.62871176242248,346.6995867016289,0.7815127986963394,3.883386448740962,-0.49185953309845576,0.18319545098641496,30,1
F0,0,1,0.550687092022538,36.51722318936072,351.9413090683527,0.9669913204203107,3.5794741924232087,-0.13491609330923565,0.24127756912145215,30,1
F0,2,3,2.234810053287465,117.76412153829295,5.841204297446959,0.9371177037456055,3.3702165073217767,1.210068311684788,nan,30,1
F0,2,3,2.5806912653391767,113.76220585242265,54.17120928742564,0.9153786736946209,2.4715053549639183,0.716648576482722,nan,30,1
F0,2,3,2.795500367455033,110.16331308494182,45.17242582185506,0.7173610759396724,3.369262533378569,0.8890509663078197,0.6107008282020432,30,1
F0,2,3,2.883111522642968,110.35081379245298,147.2006531859179,0.5388490086407621,4.444496349981991,-0.2065573263324532,0.6107008282020432,30,1
F0,2,3,2.8079571052177057,111.76685921351805,170.50777431253758,0.8162043524541053,3.413219895653628,-0.27512192790678947,0.5827915989595707,30,1
F0,2,3,2.7791119950446537,116.94544069474586,189.70877112322367,0.7214284363216259,3.7990921385408227,0.004839568632503064,0.34556315039855395,30,1
F0,2,4,2.7563758070063855,121.22037931499136,208.8071715497453,0.8490887798921509,3.8247376008934695,-0.6115419947228923,0.3233552448782173,30,1
F0,2,4,2.4727713260297137,128.68067297093353,219.04482216517823,0.7415813551356543,3.985766768640522,-1.0449947096148353,0.26117310942127464,30,1
F0,2,4,2.0312596704101153,139.45911107223134,220.8715524229269,0.944332040718433,3.7063037447534666,-1.6599924024048727,0.2439379049682321,30,1
F0,1,2,1.6780163665286578,65.56320450725246,3.9774019688503794,0.7139254152715633,3.1566705003231497,-1.752018379038154,nan,30,1
F0,1,1,1.2453887584082022,54.02079269290016,355.7451587831987,0.8465056783708248,2.70215129226271,-0.7289386096607304,nan,30,1
F0,1,1,1.1246346963213483,32.63828665718711,1.4170248068751152,0.7674823593069868,2.981986669489359,-0.34221162481172107,0.28470096379717974,30,1
F0,0,0,0.9881478971425279,10.735722253789163,44.181180822496685,0.85734950336531,1.6031499673236305,-0.6406541220916674,0.28470096379717974,30,1
F0,0,0,0.8065463464596244,16.512295177488568,48.964948337227675,0.9612842507622423,1.962690605147638,-0.5892991744644092,0.27072575326822895,30,1
F0,0,1,0.48132353711976344,57.29351627821046,129.95820514700745,0.9496054237697542,1.2288072820549534,-0.7782721791028401,0.15193646377214698,30,1
F0,0,3,0.4943303665204119,115.29247388249911,133.62911262374894,0.9326286866692398,2.1342526426644537,0.36463201095994374,0.18211107778137064,30,1
F0,0,5,0.6741348889763896,168.66240036644706,181.93713382292802,0.7786131042748727,3.760688082749668,0.5920551447003454,0.2665999970071969,30,1
F0,0,5,0.8833394335283072,151.53018647324234,177.9338175275299,0.9250259160129612,2.9225386273125675,1.1701260974288368,0.11111708803995088,30,1
F0,2,4,2.3964139288293387,122.05010704030167,350.787188931978,0.8742385585269112,4.149840186874563,1.0957946476936742,nan,30,1
