cond,distBin,angleBin,heading,coord,angleBinSize,distBinSize
F0,0,2,0.5,0.6400438998251458,30,1
F0,0,2,0.5,0.6400438998251458,30,1
F0,0,2,0.569604487273064,0.6400438998251458,30,1
F0,0,2,1.0,0.6400438998251458,30,1
F0,0,2,1.0,0.6400438998251462,30,1
F0,0,2,0.7901350871891408,0.6998814423695793,30,1
F0,0,2,0.8351495438217897,0.7462491482017012,30,1
F0,0,2,0.43716704181099875,0.6788466759367695,30,1
F0,0,2,0.6652493405385681,0.6232515108372902,30,1
F0,0,2,0.853249652399497,0.6066881217318647,30,1
F0,0,2,0.8259517062899767,0.598625639954071,30,1
F0,0,2,1.0,0.6556134192582865,30,1
F0,0,2,1.0,0.7490363095273782,30,1
F0,0,2,0.9840977487438236,0.7873750153041388,30,1
F0,0,2,0.9114144672170952,0.7938710764592438,30,1
F0,0,2,0.8711189415908434,0.7991926764674837,30,1
F0,0,2,0.4604165758394345,0.8044601402079077,30,1
F0,0,2,1.0,0.8012659363454238,30,1
F0,0,2,0.6475836176504333,0.835422590796735,30,1
F0,0,2,0.8121208567233149,0.9156759853051714,30,1
F0,0,2,1.0,0.9835502019972846,30,1
F0,0,2,0.9371670418109987,0.9828044899037175,30,1
F0,0,2,0.9819336355535339,0.9577424302885957,30,1
F0,0,2,1.0,0.9463871876219698,30,1
F0,0,2,0.9621210301574895,0.9424345092803084,30,1
F0,0,2,0.9152493405385681,0.9241116824336744,30,1
F0,0,2,0.9767504659715645,0.9283396101463033,30,1
F0,0,2,0.8687256792741289,0.9381227296007167,30,1
F0,0,2,0.9832622916434259,0.913961873663876,30,1
F0,0,2,0.8812743207258711,0.8742253528805426,30,1
F0,0,2,0.9666166335694748,0.8540566127503548,30,1
F0,0,2,0.8524163823495666,0.8532937165362803,30,1
F0,0,2,0.730131475694459,0.82407422573847,30,1
F0,0,2,0.8221923155106474,0.7584759662922826,30,1
F0,0,2,0.5572491470487001,0.7062151285643945,30,1
F0,0,2,0.4647767125227227,0.6981670795839057,30,1
F0,0,2,0.47114206162369565,0.7144783088874607,30,1
F0,0,2,0.6400062424748616,0.72223667369606,30,1
F0,0,2,0.6583091034346946,0.6924268022345064,30,1
F0,0,2,0.8221923155106474,0.6702431910739431,30,1
F0,0,2,0.5651395111953617,0.6639346402474182,30,1
F0,0,2,0.9735353239404099,0.6614518914953923,30,1
F0,0,2,0.5829523176563198,0.691154924924997,30,1
F0,0,2,0.8319086824248372,0.7608259624242613,30,1
F0,0,2,0.8743340836219975,0.8943495620069348,30,1
F0,0,2,0.7147767125227227,0.9828100093744405,30,1
F0,0,2,0.9220208696226305,0.9332526277722379,30,1
F0,0,2,0.73921396449492,0.9006225530936417,30,1
F0,0,2,0.9417140165981577,0.8940034363425603,30,1
F0,0,2,0.9616042937831962,0.8624856729979434,30,1
F0,0,2,0.9009459209684599,0.7613507295074693,30,1
F0,0,2,0.7951672353008667,0.6910019832780536,30,1
F0,1,2,0.8867975821453533,0.6505042639668993,30,1
F0,0,2,0.9203264603773447,0.6463226210992431,30,1
F0,1,2,0.8820686045075817,0.6872591247969791,30,1
F0,1,2,0.8477356920121201,0.7220692699389815,30,1
F0,1,2,0.5176657228881347,0.7255231242888629,30,1
F0,1,2,0.9604165758394345,0.7936052484953635,30,1
F0,1,2,0.6331249387476567,0.8315813434154948,30,1
F0,1,2,0.9410019151324716,0.7484543950728239,30,1
F0,1,2,0.7687025592412766,0.7528852626799377,30,1
F0,1,2,0.24139912389456697,0.8043424245687865,30,1
F0,1,2,0.3524163823495666,0.7926745282429528,30,1
F0,1,1,0.31653406913446314,0.7737232116894122,30,1
F0,1,1,0.1919353725333961,0.7628895570622329,30,1
F0,1,1,0.19743154328874668,0.7510854970005941,30,1
F0,1,1,0.20438943645349605,0.7565576760986179,30,1
F0,1,1,0.11420025121990818,0.7683864930686829,30,1
F0,1,1,0.20962803107882388,0.6993856267088522,30,1
F0,1,1,0.32797913037736937,0.6661671764812348,30,1
F0,1,1,0.2534977700467238,0.7362413416253524,30,1
F0,1,1,0.16846448256972213,0.7336052283115099,30,1
F0,1,1,0.1638173648496748,0.7444690924047254,30,1
F0,1,1,0.2895834241605655,0.7847437979660395,30,1
F0,1,1,0.18716704181099875,0.8233610010705483,30,1
F0,1,1,0.40194375433372154,0.8725598630317815,30,1
F0,1,1,0.3385855327829048,0.8646347456768761,30,1
F0,1,1,0.04164365355405486,0.8791658950522455,30,1
F0,1,1,0.44743154328874657,0.8943615124447022,30,1
F0,1,1,0.24363465089902736,0.8993510983458506,30,1
F0,1,1,0.4682744825694465,0.9387245995267496,30,1
F0,1,1,0.16404817685822148,0.9507197382730356,30,1
F0,1,0,0.20483276469913347,0.912892597907907,30,1
F0,1,0,0.07797913037736937,0.8817045267072461,30,1
F0,1,0,0.294858795585209,0.8999853436745632,30,1
F0,1,0,0.15595826075473873,0.860058232355146,30,1
F0,1,0,0.0869013692067152,0.8157501591295216,30,1
F0,1,0,0.1408120885663705,0.8147070470959298,30,1
F0,1,0,0.36585810021987963,0.7494476522317244,30,1
F0,1,0,0.28801540784794966,0.735755875091586,30,1
F0,1,0,0.3575499676427485,0.7649072103159718,30,1
F0,0,0,0.6770332094089093,0.7549677843186738,30,1
F0,0,0,0.5779791303773694,0.7379570811078874,30,1
F0,0,0,0.46358788560892905,0.746670457185856,30,1
F0,0,0,0.5779791303773694,0.7502149784468638,30,1
F0,0,0,0.5593399857953162,0.730788579908662,30,1
F0,0,0,0.7702901265572573,0.7824921155965672,30,1
F0,0,0,0.6211189415908434,0.7807234217702878,30,1
F0,0,0,0.2595732222718725,0.7639848062987619,30,1
F0,0,0,0.3687256792741288,0.8502854942620203,30,1
F0,0,0,0.298038509488628,0.8746753852910804,30,1
F0,0,0,0.14758361765043337,0.8248754135187987,30,1
F0,0,0,0.13579974878009182,0.7922042439681338,30,1
F0,0,0,0.1629287749469821,0.7799649199544242,30,1
F0,0,0,0.1209061676344435,0.7652248050334618,30,1
F0,0,0,0.18716704181099875,0.770196218693909,30,1
F0,0,0,0.25,0.7753323484216115,30,1
F0,0,0,0.16106326115933522,0.7544134534611033,30,1
F0,0,0,0.6549848390608202,0.7815276291593962,30,1
F0,0,0,0.039583424160565484,0.8155868934470379,30,1
F0,0,0,0.3398453278654586,0.8011478741240483,30,1
F0,0,0,0.34773569201212007,0.7928476166148395,30,1
F0,0,0,0.5057346927309208,0.8316496779160605,30,1
F0,0,0,0.20666562286565726,0.8816609933747124,30,1
F0,0,1,0.19440011221421483,0.9114348016869105,30,1
F0,0,1,0.2310189544901593,0.9592129121183767,30,1
F0,0,1,0.5560614291049384,0.9885545162454937,30,1
F0,0,1,0.17202086962263063,0.9749788296671585,30,1
F0,0,1,0.37111894159084347,0.9839158807564591,30,1
F0,0,1,0.08055648203640309,0.9635767097716469,30,1
F0,0,1,0.047393142277489586,0.9700938490441101,30,1
F0,0,1,0.10241638234956685,0.9794071462142133,30,1
F0,0,1,0.3402796557432799,0.946520064314433,30,1
F0,0,1,0.25964280327182443,0.9978762887445557,30,1
F0,0,1,0.42202086962263063,0.9157004351326852,30,1
F0,0,1,0.3055998877857852,0.8625140958845402,30,1
F0,0,1,0.6892867211521899,0.8325425130071891,30,1
F0,0,1,0.5343811997957867,0.8003121432485435,30,1
F0,0,1,0.7048327646991335,0.7587386276384676,30,1
F0,0,1,0.7368812518990244,0.779344527617408,30,1
F0,0,1,0.7711893046349464,0.7462730130809362,30,1
F0,0,1,0.5536899196677214,0.7180803454272539,30,1
F0,0,2,0.8128329581890013,0.7122852224759509,30,1
F0,0,2,0.6277150933448925,0.6744784385703284,30,1
F0,0,2,0.5383957062168037,0.7050314912863188,30,1
F0,0,2,0.6475836176504333,0.7503949569318922,30,1
F0,0,2,0.5,0.8010682820741797,30,1
F0,0,2,0.19485419162971263,0.7996715132374124,30,1
F0,0,2,0.37511425334942716,0.7854761352251761,30,1
F0,0,2,0.11420025121990818,0.8165643173860431,30,1
F0,0,2,0.4548327646991335,0.771394404569154,30,1
F0,0,2,0.12111894159084347,0.7673547137260261,30,1
F0,0,2,0.4031674287907343,0.7976521554963572,30,1
F0,0,2,0.39758361765043326,0.7890258751519437,30,1
F0,0,2,0.44848554568222054,0.7789593794010673,30,1
F0,0,2,0.5264646760595899,0.7934531082145194,30,1
F0,0,2,0.5628329581890013,0.8138270742131855,30,1
F0,0,2,0.6627297898388014,0.8225344339009026,30,1
F0,1,2,0.8975836176504332,0.8899340299982148,30,1
F0,1,2,0.9548327646991335,0.9488975516455781,30,1
F0,1,2,0.9114144672170953,0.9915480016256336,30,1
F0,1,2,1.0,0.9326312134579086,30,1
F0,0,2,0.9604165758394345,0.9162154810583831,30,1
F0,0,2,0.9801314756944592,0.9378755177559576,30,1
F0,0,2,0.9410019151324716,0.9214906588652464,30,1
F0,0,2,0.6764415560267377,0.8701840878952191,30,1
F0,0,2,0.8524163823495667,0.8581784941335006,30,1
F0,0,2,0.53696902803337,0.8895936885399376,30,1
F0,1,3,0.8268535697002057,0.9159782736298864,30,1
F0,1,3,0.4604165758394345,0.9585959882910168,30,1
F0,1,3,0.6136085978377366,0.9971206716295811,30,1
F0,1,3,0.795439760821764,0.961764471095288,30,1
F0,1,3,0.945576611569586,0.9274742375729571,30,1
F0,1,3,0.7876466834185161,0.9458414108338357,30,1
F0,1,3,0.8128329581890013,0.9559879305156235,30,1
F0,1,3,1.0,0.9402592848580631,30,1
F0,1,3,0.9035887520207704,0.9291487762899727,30,1
F0,1,3,0.8524163823495667,0.9190117726345021,30,1
F0,1,3,0.794760189632481,0.9501318534110438,30,1
F0,1,3,0.8928330765600626,0.9632935868825216,30,1
F0,1,3,0.7844034312447088,0.9437251102381568,30,1
F0,1,3,0.8700821052377014,0.9509419037644898,30,1
F0,1,3,0.9167687079311616,0.9658557513192652,30,1
F0,1,3,1.0,0.9741117807661616,30,1
F0,1,3,0.6871670418109987,0.9834275142076172,30,1
F0,1,3,0.722782819701179,0.9892131729966137,30,1
F0,1,3,0.7211420616236954,0.993284544362669,30,1
F0,1,3,0.3891578294735376,0.9852649958156277,30,1
F0,1,3,0.6925961082448789,0.9453632219883763,30,1
F0,1,3,0.8128329581890013,0.8927966918349532,30,1
F0,1,3,0.5851276122886504,0.8547435008909607,30,1
F0,1,3,0.8185504848795899,0.8444214962321309,30,1
F0,1,3,0.9108388622637045,0.8475626234845755,30,1
F0,1,3,0.9137549389069208,0.8475626234845797,30,1
F0,1,3,0.863634199855391,0.8475626234845797,30,1
F0,1,3,0.9948246855662362,0.8475626234845797,30,1
F0,1,3,0.9855413210972234,0.8475626234845818,30,1
F0,1,3,1.0,0.6893732593760764,30,1
F0,1,3,1.0,0.6893732593760764,30,1
F0,1,3,0.8152535190293776,0.6893732593760764,30,1
F0,1,3,0.9823342771118652,0.6893732593760763,30,1
F0,1,3,0.9410019151324716,0.6893732593760763,30,1
