C1,C2
-2444.4,-2248.7
18.591,51.732
-152.24,-244.3
947.11,1029.7
103.91,190.27
-2733.8,-3205.4
-445.35,-383.8
460.9,513.71
0.22315,0.43452
0.0012421,0.00060116
-0.89705,-0.68335
