C1,C2
-2241.3,-1916.2
22.646,50.452
-2020.1,-2766.7
1218.6,1336.3
128.8,236.19
-2740.9,-3103.8
-465.02,-457.43
386.56,456.2
0.32658,0.54651
0.0054649,0.0023006
-1.0406,-0.85442
