,Year,Month,Day,Trial,Tailbeat_Num,Ablation,Darkness,Flow,X_Center,Y_Center,X_SD,Y_SD,School_Polar,School_Speed,School_TB_Freq,NND,Area,Groups
0,2021,10,06,34,0,Y,N,2,861.8451564880091,298.70265290438294,1.1775429842762903,0.4817050342874326,0.7303162952580946,2.0781434508277985,3.0905184849568452,0.7743523995032758,3.1095701674896934,1.0
1,2021,10,06,34,1,Y,N,2,891.5346721324073,297.338882791699,1.1473192112221537,0.4845514984323785,0.7161805674509758,3.3356912806908325,2.147573019895764,0.7977762307485591,3.0025962069599887,1.0
2,2021,10,06,34,2,Y,N,2,918.1147767649364,295.9949849507858,1.0441851487259421,0.5154135973760997,0.6345314413909704,2.1350314104970787,2.7047606670903748,0.6821322437239418,2.602252598092354,1.0
3,2021,10,06,34,3,Y,N,2,959.3077610064681,275.2176498584185,0.8652762151128858,0.48715267390031514,0.7257529578473845,2.234747153149984,2.7226347662681043,0.6197699961728901,1.8859348322278011,1.0
4,2021,10,06,34,4,Y,N,2,983.6765137493074,272.23734771163544,0.759637356244438,0.489275036875225,0.4845498355439924,5.398651662051529,2.2934825140993897,0.6752983800790389,1.7246734959707701,1.0
5,2021,10,06,34,5,Y,N,2,1050.9414774697543,278.23230919309606,0.9775167874162839,0.43228442872439826,0.5167701765429307,1.5452111766803487,3.126879022098939,0.6675052932071066,2.327829310754368,1.0
6,2021,10,06,34,6,Y,N,2,1072.0890394736846,267.9355131578947,1.0874591755854548,0.40692758577903837,0.7084863131607522,1.905901297009034,3.2569932864450117,0.6591849371781474,2.488334842660559,1.0
7,2021,10,06,34,7,Y,N,2,1078.0398881578947,259.5451907894737,1.1626428867628247,0.4177277405344767,0.8829223354221536,1.938167117277936,3.1197602656020855,0.706964612517508,2.4694159562142963,1.0
8,2021,10,06,34,8,Y,N,2,1083.3345789473685,251.49515789473682,1.2221870011505986,0.43028770118146337,0.9647202225552078,1.8950553488420157,3.1828790726817044,0.6687663009608442,2.524811515983474,1.0
9,2021,10,06,34,9,Y,N,2,1085.0092105263157,240.6569605263158,1.2862013991500991,0.4584040815660075,0.9797430802765795,2.082592569456262,3.1384999374092497,0.6747478023534379,2.752467895089377,1.0
