,Year,Month,Day,Trial,Tailbeat_Num,Ablation,Darkness,Flow,X_Center,Y_Center,X_SD,Y_SD,School_Polar,School_Speed,School_TB_Freq,NND,Area
0,2022,09,13,30,0,N,Y,0,1075.3421966992482,571.6997009426066,2.2306228725827153,1.0846581454950428,0.2621278014907123,0.6920544920649017,2.6648667859266943,2.2940066674889645,11.856412399301815
1,2022,09,13,30,1,N,Y,0,1172.4378872180453,554.2479711779449,1.4270881209361763,1.126441876747596,0.21398565587868942,4.743603645204803,2.2836106781506227,2.0602057719934845,7.858100055161495
2,2022,09,13,30,2,N,Y,0,1133.406393090226,561.1572091759399,1.6057348925224053,1.1204812293235065,0.17437535478500918,0.2988625994598626,2.2124135921072243,1.8218022720837106,8.7428384591993
3,2022,09,13,30,3,N,Y,0,1144.4151527142858,532.6057929706767,1.4940975709681437,1.1009416913252967,0.35740194219381655,1.5556392742211071,3.025405138915734,1.5745288600899634,8.67420102807109
4,2022,09,13,30,4,N,Y,0,1130.2638270676694,474.14054887218043,1.4585487215025579,0.9922690049188554,0.44792346295500596,0.5236730498557453,2.705263041688235,1.8239117524601298,7.3522861632336305
5,2022,09,13,30,5,N,Y,0,1122.6294013890977,480.90346655808276,1.3641625323173228,1.0140144982698098,0.3327019241855687,2.1801664957038382,2.345229281922048,1.3017529224310267,7.852057509321982
6,2022,09,13,30,6,N,Y,0,1090.215617330827,458.11118772255634,1.3602546477286157,1.010677714814039,0.3553849072016038,2.3763543082961194,2.3851412559277336,1.2279385734004413,6.922027884306324
7,2022,09,13,30,7,N,Y,0,1073.683117675752,457.10895119586473,1.4583261835768193,1.0424813225818657,0.3452142161631709,1.6496208163541588,3.3249923547401954,1.222561835279787,8.867616494173749
8,2022,09,13,30,8,N,Y,0,1041.7119814302632,451.6762157782894,1.5158873955029024,1.0481720665725431,0.5093619784920286,0.8714455932843,2.643224117417534,1.2199202430207041,10.20454889197311
9,2022,09,13,30,9,N,Y,0,1015.0812293770678,431.2133257721804,1.715796663004506,1.045789937298938,0.4130933855593006,1.8564572850148917,2.2913722127750966,1.6827751485284157,10.757122691734592
10,2022,09,13,30,10,N,Y,0,998.9125686250001,413.2419473154762,1.9586709563807918,1.0375658138660115,0.35927869328168366,1.4152986878373688,2.3267986816042088,1.9729577777683591,11.568439621129189
11,2022,09,13,30,11,N,Y,0,964.0196659078946,421.28970897969924,2.116700589294814,1.0145851877996104,0.3174503019902856,1.6180956919717524,2.521812915681222,1.8522632092421147,11.980489953521907
12,2022,09,13,30,12,N,Y,0,915.0543755394737,422.90246710526316,2.1385754106928805,0.9970998334995211,0.3334845296984404,0.354823193989694,2.35078888129774,1.324295604614357,12.949927477606016
13,2022,09,13,30,13,N,Y,0,888.1731052631579,413.7424639546053,2.288583971061327,0.9080996553287769,0.2889478123328399,2.418692718227664,2.7822744998714897,1.3810356427461727,11.060859326288993
14,2022,09,13,30,14,N,Y,0,874.1199585513157,447.63989541776317,2.3036734791055027,1.0648014613973789,0.32566804956550055,0.5540736580322673,2.711764020537762,1.2147504655097148,12.144002203756962
