,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,Fish1_X,Fish1_Y,Fish2_X,Fish2_Y,X_Distance,Y_Distance,Distance,Angle,Heading_Diff,Fish1_Speed,Fish2_Speed,Speed_Diff,Spatial_Auto,Sync
0,2021,03,25,01,N,N,0,individual1xindividual2,0,0.18201298980592479,0.030525593203394787,0.23358468826157464,0.19737846503916523,-0.6559615677391231,2.122270056420383,2.2213319812061734,107.2200542301285,54.05208659388978,1.4338495253489318,0.9294101489540885,0.5044393763948433,0.7291577223233333,0.6226783386614085
1,2021,03,25,01,N,N,0,individual1xindividual2,1,0.21756441493973327,0.03153085749589303,0.25513712122662424,0.20420930264619977,-0.47790264928632675,2.1963679108408387,2.2477595382883466,102.27072028143922,16.586490654564813,1.5417334208328002,0.9732931771542416,0.5684402436785586,0.9168230040707147,0.6226783386614085
2,2021,03,25,01,N,N,0,individual1xindividual2,2,0.2500819812308266,0.03604470785376892,0.2774153554716385,0.20991003222243737,-0.34766438871549044,2.2114643140252923,2.238625680945404,98.93243911684503,4.822427517767722,1.1827302575903673,0.9121526690219809,0.2705775885683866,0.96383505536052,0.6742379898959823
3,2021,03,25,01,N,N,0,individual1xindividual2,3,0.27635890397235874,0.043094229396029846,0.29713090913601464,0.21203006145719766,-0.26420764644690786,2.148764081164688,2.164946363526021,97.00156925490968,8.878680850236053,1.02797503994497,0.846398812594521,0.18157622735044904,0.8046617270318542,0.8675866820256342
4,2021,03,25,01,N,N,0,individual1xindividual2,4,0.29916733903380244,0.05046204072982465,0.31829559210921216,0.2033740390727895,-0.24330008999503616,1.9449503732251952,1.960108897000475,97.15724479600333,36.03932390716369,0.9470892300473189,1.1686427975799634,-0.22155356753264457,0.7314623912729009,0.8675866820256342
0,2021,03,25,01,N,N,0,individual3xindividual1,0,0.30766440767932923,0.17659812985521467,0.18201298980592479,0.030525593203394787,1.5982118783185506,-1.857956457031543,2.4507720016810444,-49.294124967215026,20.68339423587671,1.133850992564052,1.4338495253489318,-0.2999985327848799,0.9036659607452061,0.6351113730212997
1,2021,03,25,01,N,N,0,individual3xindividual1,1,,,0.21756441493973327,0.03153085749589303,,,,,,,1.5417334208328002,,,0.8635116446933481
2,2021,03,25,01,N,N,0,individual3xindividual1,2,,,0.2500819812308266,0.03604470785376892,,,,,,,1.1827302575903673,,,0.9335700636417053
3,2021,03,25,01,N,N,0,individual3xindividual1,3,,,0.27635890397235874,0.043094229396029846,,,,,,,1.02797503994497,,,0.9335700636417053
4,2021,03,25,01,N,N,0,individual3xindividual1,4,0.37187378500595225,0.20159166187693356,0.29916733903380244,0.05046204072982465,0.9247830828307019,-1.9222795872183778,2.1331625727370884,-64.31214236527184,11.798669305376508,0.7049692778399683,0.9470892300473189,-0.24211995220735058,0.9263531428945541,0.9335700636417053
5,2021,03,25,01,N,N,0,individual3xindividual1,5,0.38874443111619267,0.19467749267267506,0.3195058888225648,0.056829206898340597,0.880673394729431,-1.7533488396633743,1.962095252971466,-63.280072501395445,27.15442046701907,1.0828175871407344,0.7927994253167616,0.29001816182397294,0.5170375900007237,0.9335700636417053
6,2021,03,25,01,N,N,0,individual3xindividual1,6,,,0.33841641256791244,0.06220126094884848,,,,,,,0.8455083414012051,,,0.9979355657120766
7,2021,03,25,01,N,N,0,individual3xindividual1,7,,,0.36131409905985307,0.0679448479725076,,,,,,,1.0810425758807503,,,0.9979355657120766
