,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,X_Distance,Y_Distance,Z_Distance,Distance,Angle,Yaw_Heading_Diff,Pitch_Heading_Diff,Fish1_Speed,Fish2_Speed,Fish1_Accel,Fish2_Accel,Fish1_X,Fish1_Y,Fish1_Z,Fish2_X,Fish2_Y,Fish2_Z,Relative_X,Fish1_Yaw_Heading,Fish2_Yaw_Heading,Fish1_Yaw_Heading_PS,Fish2_Yaw_Heading_PS,Speed_Diff
0,2022,06,10,09,S,S,0,individual2xindividual1,1,-1.8572208174560003,1.8459560315005759,0.0,2.6185535768865393,2.2887439771357134,1.6777485694465262,0.0,0.6757984398725491,0.9663516200671808,0.06962851410051725,0.2544496847555697,1.6504487520453417,0.28971537371146033,0.0,3.507669569501342,2.1356714052120367,0.0,-1.6786307737980182,-1.504037611483607,0.17289122609112703,-2.211946357464779,-1.2290607954619461,-0.29055318019463183
1,2022,06,10,09,S,S,0,individual2xindividual1,2,-2.3560514966172166,1.8539644863211655,0.0,2.998026512766745,3.101463466626133,2.494081258463966,0.0,0.651936148810698,0.7190167402259301,-0.15698599839022093,0.22656534680959955,1.4175058157836962,0.31125117487470183,0.0,3.773557312400912,2.1652156611958673,0.0,-2.976436924165625,-2.4342295876996136,0.05995635457024726,-0.7604311862971237,-0.16252999772518684,-0.06708059141523211
2,2022,06,10,09,S,S,0,individual2xindividual1,3,-2.502964802025622,1.8695327666491632,0.0,3.1240975602170358,2.6274391182955754,2.056039368749993,0.0,0.9253268356260861,0.6097943953651775,0.025094357730613387,-0.1513279983239695,1.4781283038905713,0.3200886057557922,0.0,3.981093105916193,2.189621372404956,0.0,-2.5560945001734985,-1.9856440294717854,0.06995556086517558,0.8491634435721757,-0.345414981419043,0.3155324402609084
3,2022,06,10,09,S,S,0,individual2xindividual1,4,-2.7031240399895533,1.7877822252460307,0.0,3.24084014731907,2.48064429517398,1.740674704589097,0.0,0.6163510476068008,0.9667136539506123,-0.05308877533810021,-0.12392530831862487,1.4539197578221492,0.32904492292471604,0.0,4.157043797811703,2.116827148170747,0.0,-2.5405506249123233,-1.8964260734372356,-0.15880646699514658,1.082087996214648,-0.9059901704799193,-0.35036260634381144
4,2022,06,10,09,S,S,0,individual2xindividual1,5,-2.7282030965820114,1.6064180644352983,0.0,3.166018182819506,1.8323198733644164,0.7967524448189247,0.0,1.0205209471485108,0.7938467883008503,-0.16313922392421498,0.10721032229788947,1.668477352018968,0.3543811979248185,0.0,4.396680448600979,1.9607992623601165,0.0,-0.8103883919598768,-1.3003216318691753,-0.5038382137721066,1.35081183175289,-0.5557337355274378,0.22667415884766073
5,2022,06,10,09,S,S,0,individual2xindividual1,6,-2.823889850006811,1.523499733407452,0.0,3.2086454030734006,1.537815933948806,0.5305536623697154,0.0,0.8651292541281859,0.7869447975306096,-0.0734198110065195,0.04434279504123082,1.783413304938342,0.32584938258232343,0.0,4.6073031549451535,1.8493491159897755,0.0,0.07541785973754289,-1.040911913327072,-0.5107711661625238,-0.15853337073191848,0.004917542206969501,0.07818445659757627
6,2022,06,10,09,S,S,0,individual2xindividual1,7,-2.9889400589545265,1.4343499063279108,0.0,3.315286161073577,1.848418378562073,0.8988794628146963,0.0,1.1634646762772745,0.7252604719063843,-0.09884100014113942,-0.10270174526695518,1.8239266030078762,0.30843096969166905,0.0,4.812866661962403,1.7427808760195798,0.0,-0.8580759461624957,-1.4007260999993898,-0.5007237703743571,1.0662698626272993,0.06644587655890907,0.43820420437088986
7,2022,06,10,09,S,S,0,individual2xindividual1,8,-2.8944437484539303,1.3303420449050314,0.0,3.185532070063985,0.7963144507242305,0.16760856655409195,0.0,1.0397910391926948,0.9586849178936813,0.23537151179210217,-0.292186239937509,2.1388451821511145,0.30725200194664426,0.0,5.033288930605045,1.6375940468516754,0.0,2.187532855356848,-0.3656076669964489,-0.4686887776752143,1.5705021091223519,0.10378476290206129,0.08110612129901373
8,2022,06,10,09,S,S,0,individual2xindividual1,9,-2.9161139265005973,1.2407376883085988,0.0,3.169093000137436,0.808398695927806,0.12084843552630216,0.0,0.7478078500483628,1.2521003602742213,0.3415919704448412,-0.36920456583955763,2.421480079652599,0.27027449442185764,0.0,5.337594006153197,1.5110121827304568,0.0,2.1808236586962955,-0.40607476422190025,-0.43499342053638534,-0.0952808145944075,0.7257258797561656,-0.5042925102258584
9,2022,06,10,09,S,S,0,individual2xindividual1,10,-3.1908756167547017,1.259841346884123,0.0,3.4305812074513695,0.802437080807361,0.4167694545592811,0.0,0.5089381020829155,1.832918793888101,-0.29727192913869305,-0.5375938475220338,2.6157660028550307,0.28402303694320613,0.0,5.8066416196097315,1.543864383827329,0.0,2.3853319020017096,-0.4259521829062425,-0.009062387162976035,-0.8778192017608436,3.642231956650008,-1.3239806918051857
10,2022,06,10,09,S,S,0,individual2xindividual1,11,-3.17246171606497,1.7381709795099929,0.0,3.617423350108282,1.4610841769758283,2.352305123750992,0.0,1.2960647204534683,3.6554362319515725,0.08177980830564752,-0.19834799293071229,2.502348251224671,0.24248802026443528,0.0,5.674809967289641,1.9806589997744284,0.0,0.3228544959874908,-0.9620269253371013,1.871753485341953,-1.740316940182348,4.158448306829776,-2.359371511498105
