Year,Month,Day,Trial,Ablation,Darkness,Singles,Flow,Turn_Dir,Fish_Left,Fish_Right
2021,7,7,14,N,Y,N,0,0,6,1
2021,7,7,14,N,Y,N,0,0,1,6
2021,7,7,14,N,Y,N,0,0,7,0
2021,7,7,14,N,Y,N,0,0,4,3
2021,7,7,14,N,Y,N,0,0,0,6
2021,7,7,14,N,Y,N,0,0,3,3
2021,7,7,14,N,Y,N,0,1,3,3
2021,7,7,14,N,Y,N,0,0,2,3
2021,7,7,14,N,Y,N,0,1,4,2
2021,7,7,14,N,Y,N,0,1,3,3
2021,7,7,14,N,Y,N,0,1,4,1
2021,7,7,14,N,Y,N,0,0,5,0
2021,7,7,14,N,Y,N,0,1,5,2
2021,7,7,14,N,Y,N,0,0,1,3
2021,7,7,14,N,Y,N,0,1,5,2
2021,7,7,14,N,Y,N,0,1,6,1
2021,7,7,14,N,Y,N,0,1,7,0
2021,7,7,14,N,Y,N,0,1,6,1
2021,7,7,18,N,Y,N,2,0,0,7
2021,7,7,18,N,Y,N,2,1,6,1
2021,7,7,18,N,Y,N,2,0,5,2
2021,7,7,18,N,Y,N,2,1,7,0
2021,7,7,18,N,Y,N,2,1,6,1
2021,7,7,18,N,Y,N,2,0,7,0
2021,7,7,18,N,Y,N,2,1,2,3
2021,7,7,18,N,Y,N,2,0,3,4
2021,10,6,34,Y,N,N,2,0,1,4
2021,10,6,34,Y,N,N,2,0,2,5
2021,10,6,34,Y,N,N,2,0,0,7
2021,10,6,34,Y,N,N,2,1,0,7
2021,10,6,38,Y,N,N,0,1,6,1
2021,10,6,38,Y,N,N,0,1,7,0
2021,10,6,38,Y,N,N,0,0,0,7
2021,10,6,38,Y,N,N,0,1,4,2
2021,10,6,38,Y,N,N,0,1,7,0
2021,10,6,38,Y,N,N,0,1,5,2
2021,10,8,15,N,Y,N,0,0,5,1
2021,10,8,15,N,Y,N,0,1,1,5
2021,10,8,15,N,Y,N,0,1,5,2
2021,10,8,15,N,Y,N,0,1,4,0
2021,10,8,15,N,Y,N,0,1,2,4
2021,10,8,15,N,Y,N,0,0,3,3
2021,10,8,15,N,Y,N,0,0,0,5
2021,10,8,15,N,Y,N,0,1,6,0
2021,10,8,15,N,Y,N,0,0,2,4
2021,10,8,15,N,Y,N,0,0,2,4
2021,10,8,15,N,Y,N,0,1,1,6
2021,10,8,15,N,Y,N,0,0,0,6
2021,10,8,15,N,Y,N,0,0,2,4
2021,10,8,15,N,Y,N,0,1,4,3
2021,10,8,15,N,Y,N,0,1,4,3
2021,10,8,15,N,Y,N,0,0,4,3
2021,10,8,15,N,Y,N,0,0,1,6
2021,10,8,15,N,Y,N,0,1,1,4
2021,10,8,15,N,Y,N,0,1,4,2
2021,10,8,15,N,Y,N,0,1,5,0
2021,10,8,15,N,Y,N,0,1,6,0
2021,10,8,15,N,Y,N,0,0,0,6
2021,10,8,15,N,Y,N,0,0,5,2
2021,10,8,15,N,Y,N,0,0,0,7
2021,10,8,15,N,Y,N,0,0,0,7
2021,10,8,15,N,Y,N,0,0,0,5
2021,10,8,15,N,Y,N,0,0,1,5
2021,10,8,15,N,Y,N,0,0,3,3
2021,10,8,15,N,Y,N,0,0,2,4
2021,10,8,15,N,Y,N,0,0,6,0
2021,10,8,15,N,Y,N,0,0,1,6
2021,10,8,15,N,Y,N,0,1,6,0
2021,10,8,15,N,Y,N,0,1,6,1
2021,10,8,15,N,Y,N,0,0,6,1
2021,10,8,15,N,Y,N,0,0,2,5
2021,10,8,15,N,Y,N,0,0,1,5
2021,10,8,15,N,Y,N,0,1,2,3
2021,10,8,15,N,Y,N,0,1,5,1
2021,10,8,15,N,Y,N,0,1,5,1
2021,7,7,17,N,Y,N,2,0,4,3
2021,7,7,17,N,Y,N,2,1,5,2
2021,7,7,17,N,Y,N,2,1,7,0
2021,7,7,17,N,Y,N,2,1,3,2
2021,7,7,17,N,Y,N,2,0,1,6
2021,7,7,17,N,Y,N,2,None,5,1
2021,7,7,17,N,Y,N,2,0,6,0
2021,7,7,17,N,Y,N,2,0,2,5
2021,7,7,17,N,Y,N,2,None,0,7
2021,7,7,17,N,Y,N,2,0,0,7
2021,7,7,17,N,Y,N,2,1,1,6
2021,7,7,17,N,Y,N,2,1,0,6
2021,7,7,17,N,Y,N,2,0,5,1
2021,7,7,17,N,Y,N,2,0,3,3
2021,7,7,17,N,Y,N,2,0,4,3
2021,7,7,17,N,Y,N,2,0,3,4
2021,7,7,17,N,Y,N,2,0,3,3
2021,7,7,17,N,Y,N,2,0,0,7
2021,7,7,17,N,Y,N,2,0,1,5
2021,7,7,17,N,Y,N,2,0,3,4
2021,7,7,17,N,Y,N,2,0,1,6
2021,7,7,17,N,Y,N,2,0,0,6
2021,10,6,39,Y,N,N,0,0,1,6
2021,10,6,39,Y,N,N,0,0,0,7
2021,10,6,39,Y,N,N,0,1,7,0
2021,10,6,39,Y,N,N,0,1,6,1
2021,10,6,39,Y,N,N,0,0,1,6
2021,10,6,39,Y,N,N,0,0,0,7
2021,10,6,39,Y,N,N,0,None,0,7
2021,7,7,16,N,Y,N,2,0,0,7
2021,7,7,16,N,Y,N,2,1,2,5
2021,7,7,16,N,Y,N,2,0,1,6
2021,7,7,16,N,Y,N,2,None,0,0
2021,7,7,16,N,Y,N,2,None,0,0
2021,7,7,16,N,Y,N,2,1,6,0
2021,7,7,16,N,Y,N,2,0,5,1
2021,7,7,16,N,Y,N,2,0,0,7
2021,7,7,16,N,Y,N,2,0,2,5
