,Year,Month,Day,Trial,Tailbeat_Num,Ablation,Darkness,Flow,X_Center,Y_Center,X_SD,Y_SD,Z_SD,School_Polar,School_Speed,School_TB_Freq,NND,Area,Groups,Mean_Groups,School_Height
0,2021,10,06,34,0,Y,N,2,1.6956025745755607,3.208161300334217,0.9007390519621454,0.3570100405138592,1.6300630851598914,0.400856364237362,5.96021027160257,4.486767388621608,1.7137079655005483,0.7205518587841019,2.0,1.894736842105263,4.524969696905432
1,2021,10,06,34,1,Y,N,2,1.791919972800784,3.383804852243391,0.8360511853891267,0.3667340653236753,2.012180543397119,0.48353731059083754,4.458455824805508,3.172933003192796,1.517169695468486,1.9963540380136466,2.0,1.631578947368421,5.3567134942636025
2,2021,10,06,34,2,Y,N,2,1.9955055327030957,3.496724175253912,0.8691427537441364,0.43885770702895843,1.7875477890756917,0.3353108612519025,4.872756900820893,3.6968052265809623,1.88125150037595,1.7101843561115604,2.0,1.5789473684210527,4.9669321107074635
3,2021,10,06,34,3,Y,N,2,2.2498221603537623,3.9804124264307177,0.6948944025123179,0.30070279201639694,1.3847464842175954,0.3547111073654345,5.74038746409331,3.1173996304964207,1.8247130923865835,0.02280183967001216,1.0,1.1578947368421053,3.39998988877085
4,2021,10,06,34,4,Y,N,2,2.4385823375257045,3.5807229756503984,0.5169344007660623,0.3578458147194081,2.144490616212144,0.23423429519263692,5.223634630046678,2.4062194971138777,2.3012960461137366,0.10682137401178486,1.0,1.631578947368421,5.053258513706382
5,2021,10,06,34,5,Y,N,2,2.757398294681214,2.121432285263527,0.5201820257586697,0.2933646541654791,1.7262627109928357,0.17517416550196563,3.7800032401245933,2.380462596150668,2.306812118160609,0.35899964439034016,2.0,2.0526315789473686,4.307407385062587
6,2021,10,06,34,6,Y,N,2,2.967898079097985,0.9548900113620041,0.5611384931880603,0.24750524607731583,2.31358603657618,0.3807889159697046,3.7025329943727434,2.345620589172439,1.9214569539717345,0.0096254331235961,3.0,2.789473684210526,5.73924892504098
7,2021,10,06,34,7,Y,N,2,2.8167067042202176,1.1633859694940696,0.5289187272716075,0.29278311686838115,2.6207607110957065,0.38658140865438584,2.9290158758645166,1.8621133671203243,2.1053886282453114,0.0026561749536979044,3.0,2.8947368421052633,6.389191099291607
8,2021,10,06,34,8,Y,N,2,2.6539801080126093,1.689934240141423,0.4361800320910487,0.3112587280572237,2.6585680568970935,0.36648174429910013,2.921555839072017,1.9608352850372888,,,3.0,2.6842105263157894,6.353525236577974
9,2021,10,06,34,9,Y,N,2,2.5227287381397234,1.9756111589838208,0.33185481704774955,0.32324983641152044,2.7816549409354594,0.37229216707570356,3.498994245081514,2.62244841141622,,,2.0,2.0,6.47346750412667
10,2021,10,06,34,10,Y,N,2,2.3480790173873887,1.1272228061821636,0.09806387612985804,0.18442543825868815,1.547062571786471,0.22302728561752028,2.971092281988973,2.776446931289103,,,1.0,1.4736842105263157,3.3262246466843393
11,2021,10,06,34,11,Y,N,2,2.2814337293214955,0.22380505470145498,0.0,0.0,0.0,0.125,2.1471246140335536,2.2374793199530707,,,1.0,1.0,0.0
12,2021,10,06,34,12,Y,N,2,2.330405177856119,1.5045553839706258,0.1624788869938709,0.45940241179622726,2.0610451753722576,0.24815053642346177,3.6261786217590113,2.6847952650893308,,,2.0,1.6842105263157894,4.3470030402351085
13,2021,10,06,34,13,Y,N,2,2.3000633472395675,1.9804877207925835,0.39176196910445465,0.5261323654250066,2.0332716572851695,0.3703009828129459,4.1326392352862,4.198934771582387,,,2.0,2.0,4.584218970273476
14,2021,10,06,34,14,Y,N,2,2.1909380665008613,1.6829770897134626,0.5462487431918503,0.4612794718858912,1.2477074250196734,0.3633909893146477,3.7024590347791673,3.6123003379950442,,,2.0,1.9473684210526316,2.703544773992856
0,2024,01,19,06,0,Y,Y,2,3.392782855585917,1.333426616132011,1.6549391814209684,0.9466652645655619,0.48512524267826246,0.8453117430864371,4.45057319185288,4.745403880175552,1.1910574553098392,4.209485786497032,1.0,1.0,1.5830853971984638
1,2024,01,19,06,1,Y,Y,2,3.3572739208758025,1.2885489950478461,1.647404393568264,0.930570064033082,0.5203236486950668,0.8582775339980606,2.7406188625453223,3.85305918926275,1.2051845889864083,3.5481598067124303,1.0,1.0,1.7095358113627779
2,2024,01,19,06,2,Y,Y,2,3.3194854009356316,1.2621479547643621,1.699916945686789,0.8567295945217581,0.52410942352883,0.8494744040815629,2.967199279945187,3.7584597454036914,1.2954031396826076,2.530587530030812,1.0,1.0,1.7438343759776689
3,2024,01,19,06,3,Y,Y,2,3.2900610514520054,1.2576151566889386,1.7270093873304093,0.77712119931797,0.5017016767568974,0.9217399369977466,2.8442727482845105,3.5001204271159407,1.208351030989531,3.74942809600382,1.0,1.0,1.6927324222315703
4,2024,01,19,06,4,Y,Y,2,3.265322943749774,1.2551456473071767,1.790902078979373,0.7481098072700332,0.49642979814125054,0.9735740496999808,2.6393018731342015,3.2061518527453368,1.142070647760356,5.664481740626898,1.0,1.0,1.7116426926408366
5,2024,01,19,06,5,Y,Y,2,3.25658646925217,1.2504281894339941,1.8829529530548115,0.7639421245258391,0.5058696966811347,0.9715869400794903,2.5950948890400443,2.8473205306673814,1.1600308317293395,7.173205648329123,1.0,1.0,1.7048535370255784
6,2024,01,19,06,6,Y,Y,2,3.2896157761284877,1.2530786998581003,1.9653704674477028,0.8259089523331401,0.5060872921180015,0.9517316215278847,2.471370974666178,2.7592568052295428,1.1824292508374803,8.287884741675256,1.0,1.0,1.6842345119533497
