,Year,Month,Day,Trial,Tailbeat_Num,Ablation,Darkness,Flow,X_Center,Y_Center,X_SD,Y_SD,School_Polar,School_Speed,School_TB_Freq,NND,Area,Groups
0,2021,03,25,01,0,N,N,0,0.2242787596440357,0.14190828783388876,1.0261387457879148,0.7525859111564559,0.4634952612657915,0.6213541356953713,4.052037202762091,0.7808332894857061,3.8038779721178257,1.0
1,2021,03,25,01,1,N,N,0,0.237623154202681,0.14015305968399736,1.1590486014135875,0.7075447268186315,0.451085006443811,1.0833193274820354,3.208241840487627,0.9135569259532266,4.42005087996213,1.0
2,2021,03,25,01,2,N,N,0,0.2400379526795095,0.13344134352913306,1.1275840930391505,0.7038179097318821,0.32467450362411077,6.541642419278373,1.774898143677146,1.0412220954770128,4.231892104895244,2.0
3,2021,03,25,01,3,N,N,0,0.25597523587967536,0.14229060609586025,1.2137762414792608,0.7271774659030791,0.458933138263087,3.07746955647433,2.7059107974492886,0.9140510655258011,4.578501156796981,2.0
4,2021,03,25,01,4,N,N,0,0.27683692168573115,0.14003453447299097,1.0779541047195673,0.6974059249098725,0.49700907093207813,1.8560879272996555,2.322712769570013,0.8408600450041895,3.8828612897844152,1.0
5,2021,03,25,01,5,N,N,0,0.2884199762101591,0.13787248679320271,1.0901727923544606,0.6288834765813669,0.58252840689387,0.6620230323601423,2.024436959501483,0.7931320564122906,3.87020134349775,1.0
6,2021,03,25,01,6,N,N,0,0.2902376503370799,0.12883168520313992,0.9886662999149046,0.5305118928495208,0.4353796597330785,1.3097335205487233,3.2897886891977075,0.6931785613582873,2.718019358674995,1.0
7,2021,03,25,01,7,N,N,0,0.3039265654737405,0.1302645671080725,1.0280540315090145,0.5297358161478912,0.36328704515096905,3.243396306852336,2.101396693639257,0.6785946121394193,2.7521050262988727,1.0
8,2021,03,25,01,8,N,N,0,0.31623216830968076,0.1284143788733452,0.9997806416095676,0.5257032186133829,0.23771232619188867,2.824158471706901,2.0657209615148453,0.6542545139070497,2.797377764589566,1.0
9,2021,03,25,01,9,N,N,0,0.3145373197108922,0.12764186831732932,0.9478897806433316,0.5791065509096347,0.05877066037550996,0.17997754051087655,1.7365422147224037,0.6756550115509721,2.839078233033353,1.0
10,2021,03,25,01,10,N,N,0,0.3112554927565565,0.13357151463209538,0.940530635649458,0.5570345659937839,0.12205437552227166,1.8761886505132654,1.5913718559743404,0.8100395172269718,2.8746184341366456,1.0
11,2021,03,25,01,11,N,N,0,0.3150419130959826,0.14524768317068992,0.8604701468415774,0.4598271172390774,0.45306867255676886,1.360864362959483,1.4799213184686888,0.6681912008237203,2.236464842370322,1.0
12,2021,03,25,01,12,N,N,0,0.31594316255686883,0.1562977611960885,0.7054447036534197,0.45480206877621354,0.38571064256627574,1.8561872886021888,2.2464678479738813,0.5820985932501788,1.6968690871170677,1.0
13,2021,03,25,01,13,N,N,0,0.2990511356312299,0.16819930793213925,0.6214768780022683,0.46235302800216627,0.3100474217718027,6.647657967543426,2.210426658042531,0.6178935693118947,1.2153863141545183,1.0
0,2021,10,06,34,0,Y,N,2,0.16665531646569778,0.18889503214720368,1.1404421369065947,0.4851117138647654,0.6496705672557056,5.0099773491989525,3.9722520014870937,0.6158512192405076,2.4082119522249874,1.0
1,2021,10,06,34,1,Y,N,2,0.17902224918875453,0.1876602533653155,1.0225956452127105,0.44935645959436954,0.680286454635196,4.585302372741051,2.675858407644314,0.5648139205783007,2.2257194198663197,1.0
2,2021,10,06,34,2,Y,N,2,0.18744093992531324,0.189066251220871,1.0447873193747987,0.5087563745145269,0.6072556411749183,3.915255726091773,2.466834776800495,0.6170377843512821,2.637100818300194,1.0
