"","Year","Month","Day","Trial","Flow","Ablation","Darkness","Frame","Fish","X","Y","BL_X","BL_Y"
"46",2020,7,28,10,"Still Water","No Ablation","Light",5,"6",1318.369197,796.2738264,6.83092848186528,4.12577112124352
"47",2020,7,28,10,"Still Water","No Ablation","Light",5,"7",1189.081048,813.5593264,6.16104169948187,4.21533329740933
"48",2020,7,28,10,"Still Water","No Ablation","Light",5,"8",1069.293446,558.4775148,5.5403805492228,2.89366587979275
"49",2020,7,28,10,"Still Water","No Ablation","Light",6,"1",1346.211564,422.7556773,6.9751894507772,2.1904439238342
"50",2020,7,28,10,"Still Water","No Ablation","Light",6,"2",1135.449641,634.0163523,5.88315876165803,3.28505882020725
"51",2020,7,28,10,"Still Water","No Ablation","Light",6,"3",786.0978483,705.3859526,4.07304584611399,3.65484949533679
"52",2020,7,28,10,"Still Water","No Ablation","Light",6,"4",1508.497303,882.1682668,7.81604820207254,4.57082003523316
"53",2020,7,28,10,"Still Water","No Ablation","Light",6,"5",998.9732494,278.7435179,5.17602719896373,1.44426693212435
"54",2020,7,28,10,"Still Water","No Ablation","Light",6,"6",1313.356517,796.2738264,6.80495604663212,4.12577112124352
"55",2020,7,28,10,"Still Water","No Ablation","Light",6,"7",1183.783361,809.1886086,6.13359254404145,4.19268709119171
"56",2020,7,28,10,"Still Water","No Ablation","Light",6,"8",1066.901091,563.0216191,5.52798492746114,2.91721046165803
"57",2020,7,28,10,"Still Water","No Ablation","Light",7,"1",1340.649257,424.0758658,6.94636920725389,2.19728427875648
"58",2020,7,28,10,"Still Water","No Ablation","Light",7,"2",1143.196832,628.4046042,5.92329964766839,3.25598240518135
"59",2020,7,28,10,"Still Water","No Ablation","Light",7,"3",798.8270597,695.6355273,4.13900030932642,3.60432915699482
"60",2020,7,28,10,"Still Water","No Ablation","Light",7,"4",1511.948477,886.5021114,7.83392993264249,4.59327518860104
"61",2020,7,28,10,"Still Water","No Ablation","Light",7,"5",995.3775141,278.7435179,5.15739644611399,1.44426693212435
"62",2020,7,28,10,"Still Water","No Ablation","Light",7,"6",1308.666072,796.2738264,6.78065322279793,4.12577112124352
"63",2020,7,28,10,"Still Water","No Ablation","Light",7,"7",1178.519408,803.3735907,6.1063181761658,4.16255746476684
"64",2020,7,28,10,"Still Water","No Ablation","Light",7,"8",1066.111892,567.3269097,5.5238958134715,2.93951766683938
"65",2020,7,28,10,"Still Water","No Ablation","Light",8,"1",1335.150772,425.605616,6.91787964766839,2.20521044559585
"66",2020,7,28,10,"Still Water","No Ablation","Light",8,"2",1149.971827,623.2886201,5.95840324870466,3.22947471554404
"67",2020,7,28,10,"Still Water","No Ablation","Light",8,"3",810.5385826,689.5891247,4.19968177512953,3.57300064611399
"68",2020,7,28,10,"Still Water","No Ablation","Light",8,"4",1515.605888,888.9132523,7.85288024870466,4.60576814663212
"69",2020,7,28,10,"Still Water","No Ablation","Light",8,"5",991.8846673,278.7435179,5.13929879430052,1.44426693212435
"70",2020,7,28,10,"Still Water","No Ablation","Light",8,"6",1304.270878,796.2738264,6.75788019689119,4.12577112124352
"71",2020,7,28,10,"Still Water","No Ablation","Light",8,"7",1173.18536,799.094376,6.07868062176166,4.14038536787565
"72",2020,7,28,10,"Still Water","No Ablation","Light",8,"8",1065.875857,571.5440762,5.52267283419689,2.96136827046632
"73",2020,7,28,10,"Still Water","No Ablation","Light",9,"1",1329.865095,427.0233415,6.89049272020725,2.21255617357513
"74",2020,7,28,10,"Still Water","No Ablation","Light",9,"2",1156.139574,622.4024374,5.99036048704663,3.22488309533679
