"","Year","Month","Day","Trial","Flow","Ablation","Darkness","Tailbeat_Num","Mean_Count_Fish_in_2BL","Speed_Diff","Distance","Area"
"1",2021,7,7,19,"Still Water","No Ablation","Dark",1,0.866666666666667,0.187067659114706,3.10008729383395,11.4462564000496
"2",2021,7,7,19,"Still Water","No Ablation","Dark",2,0.63,0.0772774313419793,3.42208245431675,9.05454585338063
"3",2021,7,7,19,"Still Water","No Ablation","Dark",3,0.532608695652174,0.0874628709939204,3.38468902186206,8.31803710354852
"4",2021,7,7,19,"Still Water","No Ablation","Dark",4,0.872549019607843,0.276967313175517,3.28321200366788,8.17560576498698
"5",2021,7,7,19,"Still Water","No Ablation","Dark",5,1.06140350877193,0.236953051192543,3.19186647063803,7.79449207698193
"6",2021,7,7,19,"Still Water","No Ablation","Dark",6,1.12280701754386,0.235465822348021,2.9834744267328,7.29612413836331
"7",2021,7,7,19,"Still Water","No Ablation","Dark",7,1.31858407079646,-0.0231271300626761,2.79812165567929,6.66481626386442
"8",2021,7,7,19,"Still Water","No Ablation","Dark",8,0.978947368421053,0.123955090917287,2.94385901722664,6.86983695938583
"9",2021,7,7,19,"Still Water","No Ablation","Dark",9,0.6,-0.134375047941864,2.91432303938908,8.57288579202248
"10",2021,7,7,19,"Still Water","No Ablation","Dark",10,0.671875,-0.119308522430795,2.89902397133113,9.19735762342587
"11",2021,7,7,19,"Still Water","No Ablation","Dark",11,0.65,-0.535270020645135,2.41072926956568,10.3926771828732
"12",2021,7,7,19,"Still Water","No Ablation","Dark",12,1.04347826086957,-0.110673479228794,3.02756859672605,10.5375810080772
"13",2021,7,7,19,"Still Water","No Ablation","Dark",13,0.984375,-0.0404875475202227,2.95021033130002,10.4371835314399
"14",2021,7,7,19,"Still Water","No Ablation","Dark",14,1,-0.166803404317883,2.56027252934059,10.7954198723915
"15",2021,7,7,19,"Still Water","No Ablation","Dark",16,2.34782608695652,0.135697893863674,1.9955100012433,7.02911987148366
"16",2021,7,7,19,"Still Water","No Ablation","Dark",17,1.58333333333333,0.0573779888497625,1.73365078166801,10.0793900792822
"17",2020,7,28,10,"Still Water","No Ablation","Light",1,2.0125,0.0456713503071265,2.08600929526079,4.95622682565864
"18",2020,7,28,10,"Still Water","No Ablation","Light",2,2.01315789473684,-0.0667541878377949,1.98608941612136,3.41722543463533
"19",2020,7,28,10,"Still Water","No Ablation","Light",3,1.93421052631579,-0.159976714871906,1.90306662888437,3.5511924006223
"20",2020,7,28,10,"Still Water","No Ablation","Light",4,2.15789473684211,-0.0242687826945948,1.8544673825123,3.91702016804424
"21",2020,7,28,10,"Still Water","No Ablation","Light",5,2.05921052631579,0.00422143827555663,1.77806378436938,5.19925894557879
"22",2020,7,28,10,"Still Water","No Ablation","Light",6,1.625,0.0466166069841164,1.89938559294287,5.22660519806391
"23",2020,7,28,10,"Still Water","No Ablation","Light",7,1.68421052631579,0.0748482702776961,1.97994581089301,4.85499531282749
"24",2020,7,28,10,"Still Water","No Ablation","Light",8,1.875,0.138078321329631,1.9614527513547,4.36996873874739
"25",2020,7,28,10,"Still Water","No Ablation","Light",9,2.17105263157895,0.0830234771482588,1.84613481839688,4.05212359471598
"26",2020,7,28,10,"Still Water","No Ablation","Light",10,2.46875,0.384246312387947,1.65547333478367,3.7277015194649
"27",2020,7,28,10,"Still Water","No Ablation","Light",11,2.60655737704918,0.398517465420567,1.56507002754156,3.22150560307538
"28",2020,7,28,10,"Still Water","No Ablation","Light",12,2.02631578947368,0.510544317248766,1.34525030822929,2.68984326278136
"29",2020,7,28,10,"Still Water","No Ablation","Light",13,2.83870967741935,-0.0497266421269851,1.16267296355989,2.89059730162179
"30",2020,7,28,10,"Still Water","No Ablation","Light",14,4,-0.065169225506827,1.15643941901966,3.66707840901515
