,Year,Month,Day,Trial,Tailbeat_Num,Ablation,Darkness,Flow,X_Center,Y_Center,X_SD,Y_SD,School_Polar,School_Speed,School_TB_Freq,NND,Area
0,2022,06,10,08,0,N,N,0,1182.0492385061164,521.6072634646767,2.364955178428971,1.7742164209021425,0.10138861817431674,0.538678403346672,3.3621699662466575,2.1561331698363873,25.768649798551326
1,2022,06,10,08,1,N,N,0,1171.4084412424188,521.5184442118594,2.3249749332467107,1.7502342369108292,0.27562192099044386,0.7067230624968868,2.6932007815515955,2.0390289997340396,24.87741267628223
2,2022,06,10,08,2,N,N,0,1173.0989964133814,504.4218121578819,2.275323223451376,1.6304570603012247,0.35544046249420164,0.7503157744590602,2.341561389786344,1.8078775349554832,22.059874256661427
3,2022,06,10,08,3,N,N,0,1174.4517713847913,489.46328624926116,2.2480631804280353,1.6188708533693226,0.38002258683020207,0.4633614543032062,2.577746830783893,1.7181483879960053,20.76020099830888
4,2022,06,10,08,4,N,N,0,1175.4292710956774,465.84646285207646,2.1830455144362624,1.618634113314315,0.4608436207841452,0.564227947027697,3.147124781897864,1.4776240949784964,18.31084840535968
5,2022,06,10,08,5,N,N,0,1177.6662784375642,446.3930202785291,2.1772653499973385,1.6497817003900785,0.5143360646237752,0.519185013175736,3.0830286115085284,0.9681172527575326,15.802084587869816
6,2022,06,10,08,6,N,N,0,1183.4516288355778,427.82813995762876,2.331496684164057,1.6903926379219336,0.5236580326451957,0.35406086397899045,3.1024732711886456,1.1877356285612266,17.2473673334497
7,2022,06,10,08,7,N,N,0,1186.458617561742,414.0707198193199,2.523099778707481,1.7258539420545134,0.4654075451762,0.4526554927304006,3.698387575478342,1.386894927643878,20.131007418859127
8,2022,06,10,08,8,N,N,0,1175.1912259553608,407.61927388843736,2.729128356167061,1.749353406145497,0.47621456693662756,0.371351659515569,3.2067809976793287,1.6312713575997317,24.412077014211192
9,2022,06,10,08,9,N,N,0,1178.9834974188554,397.9453061756335,3.0424876011760587,1.7503122762536898,0.4893849534215574,0.39247232142854266,2.6226731398423824,1.8923994304747511,29.165219230888834
10,2022,06,10,08,10,N,N,0,1207.4907465483013,405.1819708974738,3.259420360029659,1.7755122632446079,0.4319832129746288,0.6952129167558819,2.5637274780313084,1.974049588421239,32.29456381345238
11,2022,06,10,08,11,N,N,0,1208.8725742540862,429.98126456612033,3.2297702200296237,1.7869994202956145,0.2141681063537479,0.8438116566477799,2.2778889382385406,1.9159182611193886,33.02782762303748
12,2022,06,10,08,12,N,N,0,1184.638271331787,462.36697995035274,3.2129442472622447,1.8506391795996557,0.15727613784556946,0.8756928974745031,2.154998126866428,1.9200466905681457,34.6603258982723
13,2022,06,10,08,13,N,N,0,1152.2234653673675,446.93506486792313,3.07750538184127,1.8462299124272963,0.3582799943529478,0.4367123383968198,2.5959852339036025,1.9581516400494323,33.862840529036475
14,2022,06,10,08,14,N,N,0,1157.5458382054378,436.93895344985157,2.956610765259589,1.8334911177681454,0.22125627317976598,0.5604557964697312,3.187135285609599,1.9888537370619428,32.56256598594248
0,2022,06,10,10,0,N,N,2,988.7632602892423,478.26720433486133,3.0857528266010807,1.4009097899145484,0.9540702747410956,2.798801057494957,4.4548822887638675,2.3839524156816467,28.219234838815975
1,2022,06,10,10,1,N,N,2,944.3841846867612,469.50177283036084,3.1919456337300707,1.3892456034659273,0.92624189325103,2.677586326853336,3.793755500040125,2.318995261020022,28.636626246021084
2,2022,06,10,10,2,N,N,2,893.7599244368704,471.0426008324874,3.136284973075,1.3252179132367536,0.9530708688015849,2.8396415515570097,3.442377574831339,2.1463709957821773,25.908726585980265
3,2022,06,10,10,3,N,N,2,869.618112062153,485.345776507729,3.19755263673463,1.288559627657471,0.9313533207354643,1.9220787206715826,3.6228060703486404,2.0590538276838966,24.79393695116667
4,2022,06,10,10,4,N,N,2,882.7453526948627,488.959422211898,3.228384857836072,1.209362023550521,0.6769107278162952,2.0041666430004788,3.558908848199218,1.9260145666381974,22.84186066573409
5,2022,06,10,10,5,N,N,2,882.7619209289551,472.47526725969817,3.070552405979953,1.2979685184132845,0.7069077932276248,2.057901626822842,3.2472632111655657,1.9279742979371859,25.226219507104037
6,2022,06,10,10,6,N,N,2,884.7075787594443,458.32865649775454,2.9210744326311384,1.224519148230575,0.840492588071414,2.0043183627284047,3.821193609022557,1.7142548706401086,23.411315038522435
7,2022,06,10,10,7,N,N,2,893.0435411553634,429.9043860184519,2.801976179815962,1.0625680811242866,0.8968797906720372,1.9592601690012308,3.5641441135996494,1.5508190255524614,18.668138401221174
8,2022,06,10,10,8,N,N,2,900.1279417339124,421.4561928698891,2.7010180719896786,1.0292402641601637,0.7768310895535837,1.9847449537498763,3.4356894460431286,1.4011732851328083,17.441445026340883
9,2022,06,10,10,9,N,N,2,883.570389797813,427.1590105357923,2.6337917591576896,1.123414006419912,0.8326316680806182,2.3084047843750968,3.344429348102982,1.4288268589041757,17.912474117943432
10,2022,06,10,10,10,N,N,2,882.0944743909334,440.0606723584627,2.5336760828304437,1.2939377365397573,0.7675163892582333,2.096543952154752,4.396224127149171,1.6978182429714501,19.816159455325753
