scorer,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000
bodyparts,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1413.103271484375,232.31307983398438,0.9999254941940308,1524.92431640625,180.83384704589844,0.9968609809875488,1614.700439453125,151.56649780273438,0.6411546468734741,1666.839111328125,140.41334533691406,0.9183560013771057
1,1413.103271484375,235.61550903320312,0.9996638298034668,1527.9664306640625,184.7054443359375,0.9947020411491394,1630.670166015625,154.4310302734375,0.9266368746757507,1669.2862548828125,140.41334533691406,0.9540513157844543
2,1413.103271484375,237.62767028808594,0.9999537467956543,1527.9664306640625,191.37144470214844,0.9968206882476807,1632.3929443359375,154.52056884765625,0.9982635378837585,1669.2862548828125,140.41334533691406,0.9989275336265564
3,1408.855712890625,239.6346893310547,0.9999772310256958,1524.92431640625,194.3516845703125,0.9917279481887817,1634.4346923828125,155.11289978027344,0.9993589520454407,1667.423583984375,135.6630401611328,0.9991820454597473
4,1405.618408203125,240.9438934326172,0.9999382495880127,1520.7928466796875,202.08657836914062,0.9967588782310486,1632.3929443359375,155.5654296875,0.9996078610420227,1666.839111328125,135.65396118164062,0.9997575879096985
5,1403.681884765625,242.80593872070312,0.9999527931213379,1520.3402099609375,204.60183715820312,0.9985104203224182,1632.3929443359375,158.99766540527344,0.9995537400245667,1666.610107421875,135.65396118164062,0.9997742772102356
6,1401.072265625,245.439453125,0.9999396800994873,1514.1239013671875,208.7948455810547,0.9988788962364197,1631.5606689453125,164.1899871826172,0.9989270567893982,1666.1402587890625,135.65396118164062,0.9979615211486816
7,1398.2974853515625,248.6810760498047,0.9999353885650635,1512.1058349609375,211.7473907470703,0.9995088577270508,1621.447509765625,183.00274658203125,0.9891146421432495,1662.588623046875,151.60218811035156,0.997410237789154
8,1396.3291015625,252.92807006835938,0.9999221563339233,1511.0823974609375,214.05703735351562,0.9997420907020569,1621.447509765625,184.84927368164062,0.9722075462341309,1662.588623046875,161.5284423828125,0.9969496130943298
