scorer,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000
bodyparts,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1888.9471435546875,616.8301391601562,0.9993921518325806,1818.140380859375,655.9509887695312,0.9996030926704407,1744.130859375,696.0764770507812,0.9993215799331665,1720.5714111328125,733.53515625,0.9986363053321838
1,1894.01708984375,616.8301391601562,0.9996036887168884,1822.14306640625,655.9509887695312,0.9996566772460938,1747.8662109375,696.0764770507812,0.9998229146003723,1724.263671875,733.53515625,0.9940750598907471
2,1898.54638671875,616.8301391601562,0.9985926747322083,1825.88427734375,655.9509887695312,0.9997844099998474,1751.00634765625,696.0764770507812,0.9995482563972473,1727.2666015625,733.53515625,0.9980765581130981
3,1902.697998046875,615.4595336914062,0.9995476603507996,1829.6021728515625,654.461669921875,0.9995183944702148,1754.5809326171875,693.66943359375,0.9994875192642212,1729.462646484375,729.1289672851562,0.9994741082191467
4,1906.6453857421875,613.7100830078125,0.9999349117279053,1834.080810546875,651.9854736328125,0.9974035620689392,1758.0262451171875,690.97900390625,0.9995470643043518,1730.99755859375,723.6093139648438,0.9998387098312378
5,1911.0035400390625,610.3026123046875,0.9999377727508545,1839.3486328125,648.9718017578125,0.9991569519042969,1761.1104736328125,689.3544311523438,0.9995598196983337,1731.5880126953125,718.5896606445312,0.9996809959411621
6,1915.2498779296875,607.2399291992188,0.9994931221008301,1842.40234375,647.2686767578125,0.9997815489768982,1765.7366943359375,687.3223876953125,0.9994018077850342,1734.88232421875,713.7146606445312,0.9994707703590393
7,1918.322021484375,605.093017578125,0.9991651773452759,1846.530517578125,645.5101318359375,0.9997355341911316,1769.4141845703125,685.6248168945312,0.9991573095321655,1736.91015625,708.5711059570312,0.9993581175804138
8,1923.2347412109375,603.612060546875,0.9997666478157043,1849.1942138671875,643.3412475585938,0.999630331993103,1774.0943603515625,683.4218139648438,0.9982144832611084,1740.3665771484375,700.578857421875,0.9994737505912781
