scorer,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000
bodyparts,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1938.1993408203125,1006.9116821289062,0.9996235370635986,1844.0537109375,953.526123046875,0.9997363686561584,1730.875244140625,943.9248657226562,0.9994657635688782,1685.7491455078125,925.7803344726562,0.9988597631454468
1,1939.5367431640625,1007.0034790039062,0.9997119307518005,1846.85009765625,953.526123046875,0.9994152784347534,1732.5257568359375,946.12158203125,0.9997734427452087,1685.7491455078125,929.1539306640625,0.9998133778572083
2,1941.0328369140625,1007.0034790039062,0.9994314312934875,1850.2716064453125,953.526123046875,0.9981259703636169,1732.6719970703125,946.61279296875,0.9998953342437744,1687.2569580078125,935.3589477539062,0.9997084736824036
3,1942.2242431640625,1007.0034790039062,0.9994044303894043,1850.6513671875,951.312255859375,0.9988725781440735,1736.7276611328125,946.7293701171875,0.9994433522224426,1688.218505859375,958.1689453125,0.9945861101150513
4,1942.2242431640625,1006.8068237304688,0.9995163679122925,1852.808837890625,950.5987548828125,0.999106228351593,1736.9024658203125,946.9364013671875,0.9996024966239929,1689.046875,963.5935668945312,0.9988523721694946
5,1942.2242431640625,1006.561767578125,0.9997362494468689,1856.5816650390625,949.0674438476562,0.9997326731681824,1739.234619140625,948.6196899414062,0.99962317943573,1694.2950439453125,963.8763427734375,0.9985322952270508
6,1939.496337890625,1005.109130859375,0.9998236298561096,1858.2706298828125,945.4412841796875,0.9996397495269775,1739.7271728515625,953.8314819335938,0.9987120628356934,1694.9962158203125,969.7987670898438,0.9996318817138672
7,1936.19921875,1005.079833984375,0.9997798800468445,1860.2049560546875,941.7094116210938,0.9991770386695862,1747.8841552734375,955.4392700195312,0.9979628324508667,1695.15087890625,971.585693359375,0.9923757910728455
