scorer,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000
bodyparts,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1763.7060546875,872.6402587890625,0.999901533126831,1858.679443359375,838.6221313476562,0.9972797632217407,1944.9818115234375,824.3304443359375,0.9459484815597534,1987.3804931640625,768.146728515625,0.990183413028717
1,1764.047119140625,873.3151245117188,0.9998565912246704,1859.634521484375,838.6221313476562,0.998849630355835,1946.906982421875,826.058349609375,0.9851664900779724,1988.2288818359375,798.888427734375,0.9876327514648438
2,1764.447998046875,874.201904296875,0.9998867511749268,1859.7796630859375,838.6221313476562,0.9989281296730042,1950.0064697265625,828.1082153320312,0.996921181678772,1992.9892578125,805.2681884765625,0.9978887438774109
3,1765.97314453125,875.7019653320312,0.9998794794082642,1861.4649658203125,838.3549194335938,0.998790442943573,1950.6884765625,831.2642822265625,0.9989123344421387,1996.5936279296875,812.568603515625,0.9944692850112915
4,1766.5584716796875,876.51123046875,0.9998449087142944,1862.174560546875,838.3549194335938,0.9988942742347717,1953.09912109375,831.68408203125,0.9992560744285583,1999.0843505859375,819.5736694335938,0.9990401864051819
5,1766.923828125,877.9110107421875,0.9997630715370178,1862.3524169921875,838.3549194335938,0.9990206956863403,1955.4608154296875,831.68408203125,0.9996410608291626,2001.54931640625,824.375732421875,0.9996378421783447
6,1767.384521484375,877.9869384765625,0.999626874923706,1863.822998046875,838.4588012695312,0.9981698989868164,1959.99462890625,831.68408203125,0.9988070726394653,2001.54931640625,829.328369140625,0.9996846914291382
7,1768.0809326171875,879.0558471679688,0.9996947050094604,1864.2706298828125,839.39111328125,0.99812251329422,1959.99462890625,831.4265747070312,0.9989669322967529,2001.54931640625,834.4498291015625,0.9998875856399536
8,1768.537353515625,879.27392578125,0.9997032284736633,1864.4302978515625,840.255859375,0.9978255033493042,1959.99462890625,830.2653198242188,0.998278021812439,1999.3441162109375,834.4498291015625,0.999798595905304
