scorer,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000,DLC_resnet50_Single_Fish_VentralJun22shuffle1_500000
bodyparts,head,head,head,midline2,midline2,midline2,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1080.41455078125,402.028076171875,0.9997377991676331,1184.930419921875,328.81134033203125,0.998072624206543,1249.1947021484375,277.44476318359375,0.9783312082290649,1260.4573974609375,263.26446533203125,0.3433901369571686
1,1080.41455078125,403.1954040527344,0.9998171925544739,1185.3206787109375,329.2947082519531,0.9975801706314087,1250.39404296875,277.44476318359375,0.9916523098945618,1262.3370361328125,263.26446533203125,0.08531130105257034
2,1080.41455078125,405.22381591796875,0.9998964071273804,1185.7413330078125,329.2947082519531,0.9983912110328674,1250.9647216796875,277.44476318359375,0.9903613328933716,1262.86865234375,263.26446533203125,0.02792363055050373
3,1079.6416015625,406.73553466796875,0.9999037981033325,1185.7413330078125,329.2947082519531,0.9978001713752747,1253.454833984375,275.9229736328125,0.9948323965072632,1283.856201171875,235.5863800048828,0.8582103252410889
4,1078.92919921875,408.39324951171875,0.9998900890350342,1185.7413330078125,329.2947082519531,0.9981557726860046,1253.454833984375,275.7156982421875,0.9984466433525085,1284.0550537109375,235.5863800048828,0.9457657337188721
5,1077.5849609375,410.82904052734375,0.9998090863227844,1182.9302978515625,331.13824462890625,0.9968919157981873,1253.454833984375,275.4439392089844,0.9988580942153931,1285.0069580078125,235.5863800048828,0.91603022813797
6,1076.46484375,412.6462707519531,0.9998592138290405,1179.438232421875,335.4240417480469,0.9953919649124146,1250.6702880859375,274.42431640625,0.996547281742096,1287.932861328125,241.22256469726562,0.9967237114906311
7,1075.05126953125,413.6560363769531,0.9998145699501038,1178.7098388671875,336.4176025390625,0.9964984655380249,1248.9490966796875,273.9967041015625,0.9977903366088867,1288.1771240234375,249.26962280273438,0.9860823154449463
8,1073.7474365234375,414.5130920410156,0.9997826218605042,1177.90380859375,337.6639099121094,0.9974606037139893,1247.6707763671875,273.9967041015625,0.9899075031280518,1288.1771240234375,250.44412231445312,0.9997302889823914
