pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y
309.504666,835.830298,369.533063,899.552239
332.966992,837.118118,393.103414,901.71331
332.132964,281.350497,403.188591,312.292048
380.602712,806.348927,561.213092,875.004632
